number,title,description,season,summary
0,The Return of Doctor Mysterio,"In New York, with brain-swapping aliens poised to attack, the Doctor and Nardole link up with an investigative reporter and a mysterious masked superhero known only as the Ghost. Can the Doctor save Manhattan? And what will be revealed when we see behind the mask?",10,
1,The Pilot,The Doctor and Nardole team up with a university student to take down a sinister life-mimicking alien.,10,"A chance encounter with a girl with a star in her eye leads to a terrifying chase across time and space. Bill’s mind is opened to a Universe that is bigger and more exciting than she could possibly have imagined - but who is the Doctor, and what is his secret mission with Nardole on Earth?"
2,Smile,"In the far future, at the edge of the galaxy, there is a gleaming, perfect city. This brand new human settlement is said to hold the secret of human happiness - but the only smiles the Doctor and Bill can find are on a pile of grinning skulls. Something is alive in the walls, and the emojibots are watching from the shadows, as the Doctor and Bill try to unravel a terrifying mystery...",10,The language of the future is emoji! The Doctor takes Bill to a spectacular city on a distant planet - but where are the colonists? A band of 'cute' droids hold the deadly answer.
3,Thin Ice,The Doctor and Bill visit London during the last of the River Thames frost fairs in February 1814. They soon discover that there is something under the ice which is causing people to disappear.,10,"The Doctor and Bill arrive at the last of the great frost fairs, and find themselves investigating a string of impossible disappearances - people have been vanishing on the ice! Bill is about to discover that the past is more like her world than she expected, and that not all monsters come from outer space..."
4,Knock Knock,"Bill is moving in with some friends and they've found the perfect house rented by the landlord. The wind blows, the floorboards creak and the Doctor thinks something is very wrong.",10,"Bill is moving in with some friends and they’ve found the perfect house - so what if it’s strangely cheap to rent, and the landlord is a little creepy?

The wind blows, the floorboards creak, and the Doctor thinks something is very wrong. What lurks in the strange tower at the heart of the building - and why can’t they find any way to enter it?"
5,Oxygen,"When the Doctor, Bill and Nardole become trapped on a space station without oxygen, they discover the spacesuits are trying to kill them.",10,"The Doctor, Bill and Nardole answer a distress call in deep space, and find themselves trapped on board space station Chasm Forge. All but four of the crew have been murdered - and the dead are still walking!

In a future where oxygen is sold by the breath, and space suits are valued more highly than their occupants, the TARDIS crew battle for survival against the darkest evil of all…"
6,Extremis,"The Haereticum holds an ancient book known only as The Veritas. Throughout history, anyone who has ever read it has immediately taken their own life. When a new translation is online, spreading danger, the Vatican appeals to the Doctor for help. Will he read The Veritas? But can even the Doctor survive the ultimate truth?",10,"In the Haereticum - the Vatican’s secret library of blasphemy - there is an ancient book known only as The Veritas. Throughout history, anyone who has ever read it has immediately taken their own life. Now a new translation is online, and the danger is spreading. The Vatican appeals to the Doctor. Will he read The Veritas? But can even the Doctor survive the ultimate truth?"
7,The Pyramid at the End of the World,"A 5,000-year-old pyramid appears overnight, baffling everyone including the Doctor.",10,
8,The Lie of the Land,"Earth is invaded and Bill is living alone in occupied Britain. The Doctor appears to be on the side of the enemy, flooding the airwaves with fake news. Bill and Nardole embark on a deadly mission to rescue the Doctor and lead the resistance against the new regime, whatever the cost.",10,
9,Empress of Mars,"The Doctor, Bill and Nardole discover a tomb of the Queen of the Ice Warriors on Mars in 1881.",10,
10,The Eaters of Light,"A long time ago, the Roman legion of the ninth vanished into the mists of Scotland. Bill has a theory about what happened, and the Doctor has a time machine. But when they arrive in ancient Aberdeenshire, what they find is a far greater threat than any army. In a cairn, on a hillside, is a doorway leading to the end of the world.",10,"A long time ago, the ninth legion of the Roman army vanished into the mists of Scotland. Bill has a theory about what happened, and the Doctor has a time machine. But when they arrive in ancient Aberdeenshire, what they find is a far greater threat than any army. In a cairn, on a hillside, is a doorway leading to the end of the world…"
11,World Enough and Time,"Trapped on a giant spaceship, caught in the event horizon of a black hole, he witnesses the death of someone he is pledged to protect. Are events already out of control?",10,
12,The Doctor Falls,The Doctor makes a final stand against an army of Cybermen to protect a tiny band of humans from destruction.,10,The Mondasian Cybermen are on the rise. It’s time for the Doctor’s final battle…
0,Twice Upon a Time,"The Twelfth Doctor, still refusing to change, goes on a last adventure with the First Doctor.",11,
1,The Woman Who Fell to Earth,"In a South Yorkshire city, Ryan Sinclair, Yasmin Khan and Graham O'Brien are about to have their lives changed forever, as a mysterious woman, unable to remember her own name, falls from the night sky.",11,"We don’t get aliens in Sheffield. 

 

In a South Yorkshire city, Ryan Sinclair, Yasmin Khan and Graham O’Brien are about to have their lives changed forever, as a mysterious woman, unable to remember her own name, falls from the night sky. Can they believe a word she says? And can she help solve the strange events taking place across the city? "
2,The Ghost Monument,"Still reeling from their first encounter, can the Doctor and her new friends stay alive long enough, in a hostile alien environment, to solve the mystery of Desolation? And just who are Angstrom and Epzo?",11,"Still reeling from their first encounter, can the Doctor and her new friends stay alive long enough in a hostile alien environment to solve the mystery of Desolation? And just who are Angstrom and Epzo?"
3,Rosa,"Montgomery, Alabama, 1955. The Doctor and her friends find themselves in the Deep South of America. As they encounter a seamstress by the name of Rosa Parks, they begin to wonder whether someone is attempting to change history.",11,"“If she can live here her whole life, a couple of hours ain’t gonna kill me. They ain’t gonna kill me, right?”

Montgomery, Alabama. 1955. The Doctor and her friends find themselves in the Deep South of America. As they encounter a seamstress by the name of Rosa Parks, they begin to wonder: is someone attempting to change history?"
4,Arachnids in the UK,"The Doctor, Yaz, Graham, and Ryan find their way back to Yorkshire only to find something is stirring amidst the eight-legged arachnid population of Sheffield.",11,
5,The Tsuranga Conundrum,"Injured and stranded in the wilds of a far-flung galaxy, The Doctor, Yaz, Graham, and Ryan must band together with a group of strangers to survive against one of the universe's most deadly - and unusual - creatures.",11,"“Risk to life: absolute.”

 

Injured and stranded in the wilds of a far-flung galaxy, The Doctor, Yaz, Graham and Ryan must band together with a group of strangers to survive against one of the universe’s most deadly -- and unusual -- creatures."
6,Demons of the Punjab,"Yasmin travels in time to visit her grandmother during her youth in the partition of India, but everyone gets caught up in the tragic bloodshed of that era.",11,
7,Kerblam!,"A mysterious message arrives in a package addressed to the Doctor, leading her, Graham, Yaz and Ryan to investigate the warehouse moon orbiting Kandoka, and the home of the galaxy's largest retailer.",11,"“Delivery for the Doctor!” 

 

A mysterious message arrives in a package addressed to the Doctor, leading her, Graham, Yaz and Ryan to investigate the warehouse moon orbiting Kandoka, and the home of the galaxy’s largest retailer: Kerblam! "
8,The Witchfinders,"Arriving in 17th Century Lancashire, the TARDIS team become embroiled in a witch trial. With the arrival of King James I, the hunt for witches intensifies. However, could something more dangerous be at play? Can the Doctor, Graham, Yaz and Ryan keep the populace of Bilehurst Cragg safe from the forces surrounding the land?",11,"The Doctor, Ryan, Graham and Yaz arrive in 17th century Lancashire and become embroiled in a witch trial, run by the local landowner. 

As fear stalks the land, the arrival of King James I only serves to intensify the witch hunt. But is there something even more dangerous at work? Can the Doctor and friends keep the people of Bilehurst Cragg safe from all the forces that are massing in the land? "
9,It Takes You Away,"On the edge of a Norwegian fjord, in the present day, The Doctor, Ryan, Graham and Yaz discover a boarded-up cottage and a girl named Hanne in need of their help. What has happened here? What monster lurks in the woods around the cottage - and beyond?",11,"On the edge of a Norwegian fjord, in the present day, The Doctor, Ryan, Graham and Yaz discover a boarded-up cottage and a girl named Hanne in need of their help. 

What has happened here? 

What monster lurks in the woods around the cottage – and beyond? "
10,The Battle of Ranskoor Av Kolos,"Answering nine separate distress calls, the Doctor and team arrive on the remnants of a brutal battlefield on the planet Ranskoor Av Kolos. This planet has many secrets. An amnesiac commander? Mysterious mists? Who or what are the Ux? A deadly reckoning awaits the Doctor and team once they have the answers....",11,"On the planet of Ranskoor Av Kolos, lies the remains of a brutal battlefield. But as the Doctor, Graham, Yaz and Ryan answer nine separate distress calls, they discover the planet holds far more secrets. 

Who is the mysterious commander with no memory? What lies beyond the mists? Who or what are the Ux? 

The answers will lead the Doctor and her friends towards a deadly reckoning. "
11,Resolution,"As the New Year begins, a terrifying evil is stirring from across the centuries of Earth's history. As the Doctor, Ryan, Graham and Yaz return home, will they be able to overcome the threat to planet Earth?",11,
